name,type,status,residual_ft,gps_latitude,gps_longitude
Center Camp,CPN,entered,0.0,40.78108859,-119.21073542
The Man,CPN,entered,0.0,40.78696345,-119.2030071
10 & B Plaza,CPN,autofilled,,40.79539268,-119.2064523
10:00 & B Plaza,Plaza,autofilled,,40.79535673,-119.20647385
1200 Promenade,CPN,autofilled,,40.78938911,-119.19981431
2 & B Plaza,CPN,autofilled,,40.78434309,-119.19191856
2:00 & B Plaza,Plaza,autofilled,,40.7843214,-119.19190111
3 & B Plaza,CPN,autofilled,,40.78072308,-119.19479891
3 & G Plaza,CPN,autofilled,,40.77759757,-119.19068868
300 Portal,CPN,autofilled,,40.78211097,-119.19662425
300 Promenade,CPN,autofilled,,40.78455647,-119.19984083
3:00 & B Plaza,Plaza,autofilled,,40.78072821,-119.19480101
3:00 & G Plaza,Plaza,autofilled,,40.77760251,-119.19069099
430 & B Plaza,CPN,autofilled,,40.77813827,-119.20300743
430 & G Plaza,CPN,autofilled,,40.77371916,-119.20300759
430 Portal,CPN,autofilled,,40.78010162,-119.20300735
4:30 & B Plaza,Plaza,autofilled,,40.77814425,-119.20300807
4:30 & G Plaza,Plaza,autofilled,,40.77372536,-119.20300856
6 & G Plaza,CPN,autofilled,,40.77759745,-119.21532705
600 Portal,CPN,autofilled,,40.78260935,-119.20873508
600 Promenade,CPN,autofilled,,40.78478607,-119.20587103
6:00 & G Plaza,Plaza,autofilled,,40.77760407,-119.21532527
730 & B Plaza,CPN,autofilled,,40.78696311,-119.21461746
730 & G Plaza,CPN,autofilled,,40.7869625,-119.2204312
730 Portal,CPN,autofilled,,40.78696329,-119.21203449
7:30 & B Plaza,Plaza,autofilled,,40.78696782,-119.21461514
7:30 & G Plaza,Plaza,autofilled,,40.78696746,-119.22042861
9 & B Plaza,CPN,autofilled,,40.79320322,-119.21121682
9 & G Plaza,CPN,autofilled,,40.796328,-119.21532897
900 Portal,CPN,autofilled,,40.7918154,-119.20939067
900 Promenade,CPN,autofilled,,40.78938923,-119.20619845
9:00 & B Plaza,Plaza,autofilled,,40.79320655,-119.21121472
9:00 & G Plaza,Plaza,autofilled,,40.7963315,-119.21532666
Airport,CPN,autofilled,,40.76426081,-119.2052277
Arctica Center Camp,CPN,autofilled,,40.78199433,-119.21188683
Arctica Outpost,CPN,autofilled,,40.77741239,-119.21910271
Artery,CPN,autofilled,,40.78309726,-119.20998428
BLM LE Substation,CPN,autofilled,,40.78038059,-119.20608464
Box Office,CPN,autofilled,,40.77194425,-119.23079554
Burner Express Bus Depot,CPN,autofilled,,40.77707159,-119.21784397
Census Checkpoint,CPN,autofilled,,40.77128376,-119.22306327
Center Camp Plaza,CPN,autofilled,,40.78108859,-119.21073542
Center Camp Plaza,Plaza,autofilled,,40.78115047,-119.21066352
D Lot,CPN,autofilled,,40.77189555,-119.22895019
Deep-Playa Music Zone (DMZ),CPN,autofilled,,40.80292,-119.19888799
Deep-Playa Music Zone 2 (DMZ2),CPN,autofilled,,40.78216461,-119.17946274
Department of Mutant Vehicles (DMV),CPN,autofilled,,40.78267762,-119.20758627
ESD Station 3,CPN,autofilled,,40.77991306,-119.1941048
ESD Station 6,CPN,autofilled,,40.78050951,-119.20652399
ESD Station 9,CPN,autofilled,,40.79401234,-119.21191041
Gate Actual,CPN,autofilled,,40.77244253,-119.22921347
Greeters,CPN,autofilled,,40.7736298,-119.22052822
HEaT,CPN,autofilled,,40.78028935,-119.20740945
Hell Station,CPN,autofilled,,40.80182361,-119.21433893
Ice Cubed Arctica 3,CPN,autofilled,,40.77747859,-119.19003381
Ice Nine Arctica,CPN,autofilled,,40.79643403,-119.21595371
Media Mecca,CPN,autofilled,,40.78302035,-119.21144013
Playa Info,CPN,autofilled,,40.7815803,-119.20816894
Point 1,CPN,autofilled,,40.78342813,-119.23254224
Point 2,CPN,autofilled,,40.80723838,-119.21652877
Point 3,CPN,autofilled,,40.80304185,-119.1818432
Point 4,CPN,autofilled,,40.77659807,-119.17636308
Point 5,CPN,autofilled,,40.76450393,-119.20770714
Rampart,CPN,autofilled,,40.78006573,-119.20676582
Ranger HQ,CPN,autofilled,,40.78364137,-119.21150345
Ranger Station Berlin,CPN,autofilled,,40.78019789,-119.19373583
Ranger Station Tokyo,CPN,autofilled,,40.79377881,-119.21234532
Recycle Camp,CPN,autofilled,,40.78066686,-119.20815379
The Temple,CPN,autofilled,,40.79181515,-119.19662193
Walk-In Camp,CPN,autofilled,,40.76976652,-119.19678444
Will Call Lot,CPN,autofilled,,40.77212359,-119.23217185
Yellow Bike Project,CPN,autofilled,,40.7776436,-119.20966934
